iter	Passed	Remaining
874	1522	217
875	1524	215
876	1526	214
877	1528	212
878	1529	210
879	1531	208
880	1533	207
881	1534	205
882	1536	203
883	1538	201
884	1540	200
885	1541	198
886	1543	196
887	1545	194
888	1546	193
889	1548	191
890	1550	189
891	1551	187
892	1553	186
893	1555	184
894	1557	182
895	1558	180
896	1560	179
897	1562	177
898	1564	175
899	1565	173
900	1567	172
901	1570	170
902	1572	168
903	1573	167
904	1575	165
905	1577	163
906	1578	161
907	1580	160
908	1582	158
909	1583	156
910	1585	154
911	1587	153
912	1588	151
913	1590	149
914	1592	147
915	1594	146
916	1595	144
917	1597	142
918	1599	140
919	1601	139
920	1602	137
921	1604	135
922	1606	134
923	1608	132
924	1609	130
925	1611	128
926	1613	127
927	1614	125
928	1616	123
929	1618	121
930	1620	120
931	1622	118
932	1623	116
933	1625	114
934	1627	113
935	1629	111
936	1630	109
937	1632	107
938	1634	106
939	1636	104
940	1638	102
941	1639	100
942	1641	99
943	1643	97
944	1644	95
945	1646	93
946	1648	92
947	1649	90
948	1651	88
949	1653	87
950	1655	85
951	1656	83
952	1658	81
953	1660	80
954	1662	78
955	1663	76
956	1665	74
957	1667	73
958	1669	71
959	1670	69
960	1672	67
961	1675	66
962	1677	64
963	1678	62
964	1680	60
965	1681	59
966	1683	57
967	1684	55
968	1686	53
969	1688	52
970	1690	50
971	1692	48
972	1694	47
973	1696	45
974	1698	43
975	1700	41
976	1701	40
977	1703	38
978	1705	36
979	1707	34
980	1709	33
981	1711	31
982	1712	29
983	1714	27
984	1715	26
985	1717	24
986	1719	22
987	1720	20
988	1722	19
989	1724	17
990	1725	15
991	1727	13
992	1729	12
993	1730	10
994	1732	8
995	1734	6
996	1736	5
997	1738	3
998	1740	1
999	1741	0
